Incident ID,Month,Year,State,City Or County,Address,# Killed,# Injured,Operations
1970651,4,2021,West Virginia,Clendenin,Smith Hill Rd,0,1,N/A
1977910,4,2021,Ohio,Columbus,Wedgewood Dr,0,1,N/A
1973403,4,2021,Ohio,Cincinnati,N/A,0,1,N/A
1969532,4,2021,California,Fresno,300 block of W Roy Ave,0,1,N/A
1970549,4,2021,Illinois,Chicago,W Fulton St and N Pine Ave,0,1,N/A
1969462,4,2021,New York,Brooklyn,New Lots Ave and Montauk Ave,0,1,N/A
1971036,4,2021,Utah,Cedar City,W Midvalley Rd and N 6000 W,0,1,N/A
1970717,4,2021,Indiana,Lafayette,525 S 31st St,0,1,N/A
1970600,4,2021,Ohio,Ashtabula,2500 block of Eureka Rd,0,2,N/A
1969430,4,2021,Texas,Austin,1600 block of Nash Hernandez Senior Rd,0,2,N/A
1969538,4,2021,Texas,Houston,200 block of Plaza Verde Dr,0,2,N/A
1968670,4,2021,Ohio,Dayton,Gettysburg Ave,0,2,N/A
1968584,4,2021,Iowa,Cedar Falls,2200 block of College St,0,1,N/A
1971067,4,2021,Utah,Cedar City,W Midvalley Rd and N 6000 W,0,1,N/A
1978047,4,2021,Pennsylvania,Beaver Springs,1008 Ridge Rd,0,1,N/A
1968400,4,2021,Illinois,Chicago,1100 block of  S State St,0,1,N/A
1969823,4,2021,Louisiana,Shreveport,Jefferson Paige Rd,0,1,N/A
1968823,4,2021,North Carolina,Raleigh,900 Hodges St,0,1,N/A
1970300,4,2021,Texas,Houston,1200 Grove St,0,1,N/A
1973011,4,2021,Georgia,Snellville,4515 Lenora Church Rd,0,1,N/A
1971926,4,2021,Indiana,South Bend,3790 Curtiss Dr N,0,1,N/A
1969885,4,2021,Idaho,Idaho Falls,1600 S 25th E,0,1,N/A
1968956,4,2021,Ohio,Columbus,800 block of S Weyant Ave,0,1,N/A
1968000,4,2021,Ohio,Columbus,668 Wedgewood Dr,0,1,N/A
1968186,4,2021,New York,Bronx,E 166th St and Findlay Ave,1,1,N/A
1969191,4,2021,Tennessee,Jackson,300 block of Berry St,0,2,N/A
1968513,4,2021,Texas,Houston,3907 Canal St,0,3,N/A
1969705,4,2021,Mississippi,Biloxi,1980 Beach Blvd,0,1,N/A
1966373,4,2021,Ohio,Columbus,1632 Red Leaf Ln,0,1,N/A
1966396,4,2021,Arizona,Phoenix,67th Ave and McDowell Rd,0,1,N/A
1967044,4,2021,Texas,Fort Worth,3200 block of Knox St,0,1,N/A
1968274,3,2021,New York,Syracuse,2800 block of Midland Ave,0,1,N/A
1965484,3,2021,North Carolina,Charlotte,1000 block of Marble St,0,1,N/A
1964879,3,2021,Wisconsin,Siren,24787 Clam Lake Dr,0,1,N/A
1965627,3,2021,Missouri,Powell,38 Woodpecker Ln,0,1,N/A
1964104,3,2021,Ohio,Columbus,5200 block of Spencer Ct,0,1,N/A
1964391,3,2021,Tennessee,Clarksville,1700 block of Tiny Town Rd,0,1,N/A
1963450,3,2021,Utah,Salt Lake City,6000 2100 S,0,1,N/A
1963765,3,2021,Texas,Fort Worth,100 block of Afton Rd,0,1,N/A
1963761,3,2021,Pennsylvania,Philadelphia,400 block of S 56th St,0,1,N/A
1963171,3,2021,Illinois,Chicago,3300 block of W Ohio St,0,1,N/A
1963239,3,2021,New York,Bronx,357 E 204th St,0,1,N/A
1964517,3,2021,Tennessee,Crossville,230 Woodmere Mall,0,1,N/A
1963281,3,2021,Texas,Houston,14805 Grigsby Rd,0,1,N/A
1964110,3,2021,North Dakota,Minot,N/A,0,1,N/A
1963317,3,2021,Oklahoma,Oklahoma City,7700 block of NW 12th St,0,1,N/A
1962443,3,2021,Michigan,Detroit,Klein St and Conant St,0,1,N/A
1963225,3,2021,Texas,Cypress,10600 block of Cypress Breeze Dr,0,1,N/A
1961883,3,2021,California,Oakland,4800 block of Calaveras Ave,0,1,N/A
1962435,3,2021,Kentucky,Louisville (Shively),2121 Crums Ln,1,2,N/A
1961205,3,2021,Virginia,King George,3930 James Madison Pkwy,1,2,N/A
1962060,3,2021,Florida,Bunnell,Nutwood Ave,0,1,N/A
1961701,3,2021,Mississippi,Jackson,1300 block of Hair St,0,1,N/A
1961689,3,2021,Alabama,Birmingham,N/A,0,1,N/A
1961456,3,2021,Texas,San Antonio,120 Delmar St,0,2,N/A
1962548,3,2021,Ohio,Hilliard,4663 Crystal Ball Dr,0,1,N/A
1960670,3,2021,Ohio,Mansfield,500 block of Arlington Ave,0,1,N/A
1961107,3,2021,California,Oakland,2500 block of 26th Ave,0,3,N/A
1961697,3,2021,Nebraska,Scottsbluff,700 block of E 18th St,0,1,N/A
1960348,3,2021,Florida,Tallahassee,2849 Apalachee Pkwy,1,1,N/A
1959795,3,2021,Texas,Houston,13600 block of Ralph Culver Rd,0,1,N/A
1958443,3,2021,Texas,San Antonio,4740 S Presa St,0,1,N/A
1958485,3,2021,Illinois,Decatur,1500 block of N Church St,0,1,N/A
1958895,3,2021,Colorado,Pueblo,E 3rd St,0,1,N/A
1965419,3,2021,Texas,Killeen,3701 South W S Young Dr,1,0,N/A
1957972,3,2021,Iowa,Marion,1300 block of Seventh St,0,1,N/A
1958439,3,2021,Texas,San Antonio,500 block of Exeter Rd,0,1,N/A
1957633,3,2021,Colorado,Aurora,N/A,0,1,N/A
1958741,3,2021,Virginia,Harrisonburg,910 N Main St,0,1,N/A
1957436,3,2021,California,Fresno,Harvey Ave and Winery Ave,1,1,N/A
1957701,3,2021,Louisiana,Shreveport,4911 Monkhouse Dr,1,1,N/A
1957985,3,2021,Louisiana,New Orleans,300 block of Bourbon St,0,2,N/A
1957421,3,2021,California,Fresno,480 E Shaw Ave,1,1,N/A
1957291,3,2021,Arizona,Mesa,W Broadway Rd and S Longmore,1,2,N/A
1957046,3,2021,Oklahoma,Oklahoma City,N Woodward Ave and NW 28th St,1,1,N/A
1957179,3,2021,Texas,Houston,12360 Richmond Ave,1,2,N/A
1957030,3,2021,Virginia,Hampton,40 block of Apollo Dr,0,1,N/A
1956104,3,2021,North Carolina,Four Oaks,I-95,0,1,N/A
